SampleID	species	age	sex	tissue	diet	mix_diet	sp_diet
G5	pallidipes	16 days old	females	guts	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
G8	pallidipes	16 days old	females	guts	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
G27	pallidipes	16 days old	females	guts	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
G7	gambiensis	16 days old	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
G13	gambiensis	16 days old	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
G21	gambiensis	16 days old	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
G22	gambiensis	16 days old	females	guts	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
G23	gambiensis	16 days old	females	guts	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
G29	gambiensis	16 days old	females	guts	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
G33	morsitans	16 days old	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
G38	morsitans	16 days old	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
G39	morsitans	16 days old	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
G35	morsitans	16 days old	females	guts	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
G36	morsitans	16 days old	females	guts	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
G37	morsitans	16 days old	females	guts	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E31	pallidipes	Teneral flies	males	testes	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E32	pallidipes	Teneral flies	males	testes	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E33	pallidipes	Teneral flies	males	testes	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E34	pallidipes	Teneral flies	males	guts	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E35	pallidipes	Teneral flies	males	guts	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E36	pallidipes	Teneral flies	males	guts	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E19	gambiensis	Teneral flies	males	testes	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E20	gambiensis	Teneral flies	males	testes	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E21	gambiensis	Teneral flies	males	testes	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E22	gambiensis	Teneral flies	males	guts	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E23	gambiensis	Teneral flies	males	guts	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E24	gambiensis	Teneral flies	males	guts	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E7	morsitans	Teneral flies	males	testes	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E8	morsitans	Teneral flies	males	testes	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E9	morsitans	Teneral flies	males	testes	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E10	morsitans	Teneral flies	males	guts	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E11	morsitans	Teneral flies	males	guts	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E12	morsitans	Teneral flies	males	guts	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E25	pallidipes	Teneral flies	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E26	pallidipes	Teneral flies	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E27	pallidipes	Teneral flies	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E28	pallidipes	Teneral flies	females	guts	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E29	pallidipes	Teneral flies	females	guts	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E30	pallidipes	Teneral flies	females	guts	Vanderzant vitamin mixture diet	Vitamins	pallidipes/Vitamins
E13	gambiensis	Teneral flies	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E14	gambiensis	Teneral flies	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E15	gambiensis	Teneral flies	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E16	gambiensis	Teneral flies	females	guts	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E17	gambiensis	Teneral flies	females	guts	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
