OTU_ID	ASIM94	ASIM88	ASIM3	ASIM4	ASIM20	ASIM91	ASIM18	ASIM89	ASIM86	ASIM24	ASIM85	ASIM90	ASIM92	ASIM12	ASIM1	ASIM87	ASIM14	ASIM8	ASIM25	ASIM2	ASIM93	ASIM13	ASIM23	ASIM15	ASIM10	ASIM16	ASIM9	ASIM11	ASIM17	ASIM26	ASIM21	ASIM7	ASIM6	ASIM5	ASIM22	ASIM19
Bacteria;__Fibrobacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.42446433415e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;__Firmicutes	0.172545146727	0.282852864096	0.0190538053481	0.268560550593	0.000946900721101	0.260474965966	0.00233384069001	0.178260869565	0.242510121457	0.00260953999272	0.0871786930938	0.137086092715	0.31066620642	0.00395887874338	0.00552069079413	0.271574498063	0.000760273698531	0.000429758380288	0.00412259289395	0.00837531486146	0.293903404592	0.000753448475716	0.00456356858208	0.003781205689	0.00157920859089	0.000650533437419	0.000368239355581	0.00281353909114	0.000755413798892	0.0103067179933	0.000555895269331	0.00125822686798	0.00135799750422	0.000561892453784	0.000362423890983	0.00102556589261
Bacteria;__Fusobacteria	0.00395033860045	0.0	0.0	0.000439302972617	0.0	0.00136136741794	0.0	0.0	0.00202429149798	0.0	0.000309693403531	0.0	0.0	6.38528829577e-05	0.0	0.000352236703064	4.00144051859e-05	0.0	2.71223216707e-05	0.0	0.0	0.0	0.0	0.000128904739398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;__Gemmatimonadetes	0.0	0.0	0.000649561545956	0.000146434324206	0.0	0.0	0.000101471334348	0.0	0.0	0.0	0.0	0.0	0.0	6.38528829577e-05	0.0	0.0	0.0	0.0	0.000244100895037	0.000125944584383	0.0	5.79575750551e-05	0.0	0.000257809478795	4.51202454541e-05	0.0	0.0	0.000170517520675	0.000125902299815	0.0	0.0	4.83933410763e-05	0.0	0.0	7.24847781966e-05	0.0
Bacteria;__JL-ETNP-Z39	0.0	0.0	0.0	0.000146434324206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.42446433415e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;__Nitrospirae	0.0	0.0	0.0	0.000585737296822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.42446433415e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.67026352492e-05	0.0	0.0	0.0
Bacteria;__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.42446433415e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;__Proteobacteria	0.301072234763	0.180831149382	0.958319800801	0.675647971885	0.996940782286	0.37240962033	0.993404363267	0.314945652174	0.424831309042	0.994720233038	0.716940229173	0.317086092715	0.308595098378	0.990996743503	0.988581135281	0.311553363861	0.997639150094	0.998615222997	0.981638188229	0.98016372796	0.328266033254	0.998261272748	0.991901272657	0.993382890044	0.995713576682	0.998373666406	0.998112773303	0.993776110495	0.997062279671	0.975619851815	0.998777030407	0.997919086334	0.997797841885	0.999044782829	0.998115395767	0.997655849388
Bacteria;__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000264900662252	0.000862961684501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;__Tenericutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000529801324503	0.0	0.0	0.0	0.0	0.0	0.0	5.42446433415e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;__Verrucomicrobia	0.0	0.0	0.0	0.000878605945234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000352236703064	0.0	0.0	0.000162733930024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.34052704984e-05	0.0	0.0	0.0
Bacteria;__WCHB1-60	0.0	0.00467989517035	0.0	0.0	0.0	0.0	0.0	0.0	0.00080971659919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
