	sequences per sample	iteration	ASIM94	ASIM88	ASIM3	ASIM4	ASIM20	ASIM91	ASIM18	ASIM89	ASIM86	ASIM24	ASIM85	ASIM90	ASIM92	ASIM12	ASIM1	ASIM87	ASIM14	ASIM8	ASIM25	ASIM2	ASIM93	ASIM13	ASIM23	ASIM15	ASIM10	ASIM16	ASIM9	ASIM11	ASIM17	ASIM26	ASIM21	ASIM7	ASIM6	ASIM5	ASIM22	ASIM19
alpha_rarefaction_500_6.txt	500	6	89.4285714286	177.769230769	451.0	523.5	15.0	133.214285714	84.0	140.583333333	153.769230769	21.0	114.666666667	193.25	211.142857143	28.0	159.0	124.461538462	19.5	41.0	91.3333333333	168.111111111	204.0	18.5	28.0	22.5	16.0	42.0	33.0	53.0	27.0	135.0	34.0	36.3333333333	54.0	40.5	50.0	24.5
alpha_rarefaction_500_7.txt	500	7	167.0	203.8	326.25	229.142857143	34.0	132.555555556	21.5	241.125	153.5625	20.0	138.0	126.142857143	111.2	57.0	137.0	109.333333333	20.0	33.0	50.25	205.2	207.0	15.0	61.0	24.5	60.0	28.0	12.0	24.3333333333	24.5	104.0	14.5	46.0	47.0	52.3333333333	7.0	32.0
alpha_rarefaction_500_8.txt	500	8	95.5	144.571428571	148.111111111	205.769230769	27.0	150.75	52.0	188.714285714	125.090909091	109.5	130.333333333	123.0	138.75	75.0	235.6	213.5	20.0	33.0	114.333333333	180.25	150.142857143	40.0	34.0	83.0	57.0	25.0	33.0	29.0	25.0	95.25	18.0	32.75	28.2	41.0	14.3333333333	25.3333333333
alpha_rarefaction_500_9.txt	500	9	173.25	174.0	343.5	143.833333333	22.0	124.625	50.0	181.333333333	129.076923077	28.0	151.0	128.0	199.8	67.25	234.25	143.0	37.5	19.0	72.0	172.0	182.857142857	41.0	26.0	22.0	16.0	14.0	12.0	52.0	32.0	108.2	33.0	19.5	86.0	42.0	18.5	10.0
alpha_rarefaction_750_0.txt	750	0	109.25	232.882352941	225.5	226.176470588	21.5	195.866666667	65.0	169.5	177.153846154	51.0	296.428571429	217.545454545	170.214285714	54.25	253.333333333	177.6875	51.0	27.0	72.5	153.214285714	117.5	17.0	19.2	57.0	38.5	36.3333333333	33.0	60.0	38.5	116.6	44.0	42.5	62.3333333333	111.0	50.0	51.0
alpha_rarefaction_750_1.txt	750	1	118.8	154.0	216.2	231.0	71.75	177.615384615	40.5	251.5	143.714285714	110.0	200.8	144.5	172.5625	129.0	198.235294118	178.666666667	60.0	32.0	386.0	191.111111111	147.909090909	41.0	23.0	13.0	45.5	61.0	50.0	92.0	25.3333333333	146.142857143	35.0	45.75	66.6666666667	41.5	29.0	14.5
alpha_rarefaction_750_2.txt	750	2	99.0	187.571428571	224.0625	353.076923077	45.0	255.272727273	20.25	165.0	266.3	42.0	159.545454545	179.090909091	276.1	125.0	456.0	302.166666667	33.0	52.0	195.5	165.333333333	296.428571429	19.5	72.0	92.0	26.0	33.0	13.0	74.0	72.0	144.5	61.0	33.0	45.5	133.0	28.0	45.5
alpha_rarefaction_750_3.txt	750	3	127.428571429	221.0	239.058823529	289.0	52.0	209.214285714	52.3333333333	159.0	178.0	70.3333333333	185.625	291.166666667	206.0	79.5	330.5	242.1	51.0	60.0	255.5	147.0	114.714285714	21.0	29.0	45.5	21.0	72.0	33.0	128.0	51.0	120.25	26.3333333333	82.0	77.0	92.0	71.0	59.0
alpha_rarefaction_750_4.txt	750	4	126.142857143	234.071428571	252.0	294.0	19.0	298.5	44.5	237.428571429	141.571428571	23.5	256.6	160.545454545	173.571428571	126.0	261.545454545	235.8	37.3333333333	61.0	152.0	131.0	153.066666667	15.0	72.0	28.0	196.0	23.5	50.0	216.0	18.0	115.0	129.0	30.0	62.3333333333	52.3333333333	96.0	58.0
alpha_rarefaction_750_5.txt	750	5	99.8	222.0	262.571428571	263.714285714	29.0	237.0	73.5	230.75	168.928571429	126.0	166.1	234.8	207.071428571	198.0	203.090909091	139.0	39.5	23.0	89.75	168.0	256.5	15.0	74.5	37.3333333333	51.0	20.5	39.5	60.0	32.75	187.25	29.0	74.5	49.0	59.0	34.0	38.5
